Num,1. A/C Compressor Active (A/C Pressure)
1,Off
2,201.63
3,0.91
4,18.19
5,OK
6,0.94
7,975
8,-1.50
9,14.57
10,1040
11,Off
12,0
13,-0.21
14,-0.03
15,0.61
16,-0.04
17,On
18,Off
19,Off
20,Off
21,Off
22,86.25
23,7.84
24,0
25,2.28
26,41.96
27,407.70
28,400
29,On
30,10.00
31,28
32,-710
33,-6.75
34,0.84
35,-1.08
36,7.84
37,1.50
38,O/L
39,1.20
40,1.06
41,1.00
42,11.80
43,0
44,0
45,0
46,0
47,0
48,2
49,3.50
50,0
51,1.71
52,79.68
53,Off
54,10.14
55,0.00
56,0
57,2.91
58,1.00
59,1.57
60,0.64
61,1.57
62,4.36
63,1.57
64,0
65,60
66,Off
67,201.63
68,0.91
69,18.19
70,OK
71,0.94
72,975
73,-1.50
74,14.57
75,1040
76,Off
77,0
78,-0.21
79,-0.03
80,0.61
81,-0.04
82,On
83,Off
84,Off
85,Off
86,Off
87,86.25
88,7.84
89,0
90,2.28
91,41.96
92,407.70
93,400
94,On
95,10.00
96,28
97,-710
98,-6.75
99,0.84
100,-1.08
101,7.84
102,1.50
103,O/L
104,1.20
105,1.06
106,1.00
107,11.80
108,0
109,0
110,0
111,0
112,0
113,2
114,3.50
115,0
116,1.71
117,79.68
118,Off
119,10.14
120,0.00
121,0
122,2.91
123,1.00
124,1.57
125,0.64
126,1.57
127,4.36
128,1.57
129,0
130,60
131,Off
132,201.63
133,0.91
134,18.19
135,OK
136,0.94
137,975
138,-1.50
139,14.57
140,1040
141,Off
142,0
143,-0.21
144,-0.03
145,0.61
146,-0.04
147,On
148,Off
149,Off
150,Off
151,Off
152,86.25
153,7.84
154,0
155,2.28
156,41.96
157,407.70
158,400
159,On
160,10.00
161,28
162,-710
163,-6.75
164,0.84
165,-1.08
166,7.84
167,1.50
168,O/L
169,1.20
170,1.06
171,1.00
172,11.80
173,0
174,0
175,0
176,0
177,0
178,2
179,3.50
180,0
181,1.71
182,79.68
183,Off
184,10.14
185,0.00
186,0
187,2.91
188,1.00
189,1.57
190,0.64
191,1.57
192,4.36
193,1.57
194,0
195,60
196,Off
197,201.63
198,0.94
199,18.19
200,OK
201,0.94
202,975
203,-1.50
204,14.57
205,1040
206,Off
207,0
208,-0.21
209,-0.03
210,0.61
211,-0.04
212,On
213,Off
214,Off
215,Off
216,Off
217,86.25
218,7.84
219,0
220,2.28
221,41.96
222,407.70
223,400
224,On
225,10.00
226,28
227,-710
228,-6.75
229,0.84
230,-1.08
231,7.84
232,1.50
233,O/L
234,1.20
235,1.06
236,1.00
237,11.80
238,0
239,0
240,0
241,0
242,0
243,2
244,3.50
245,0
246,1.71
247,79.68
248,Off
249,10.14
250,0.00
251,0
252,2.91
253,1.00
254,1.57
255,0.64
256,1.57
257,4.36
258,1.57
259,0
260,60
261,Off
262,201.63
263,0.94
264,18.76
265,OK
266,0.94
267,975
268,-1.50
269,14.57
270,1040
271,Off
272,0
273,-0.21
274,-0.03
275,0.61
276,-0.04
277,On
278,Off
279,Off
280,Off
281,Off
282,86.25
283,7.84
284,0
285,2.28
286,41.96
287,407.70
288,400
289,On
290,10.00
291,28
292,-710
293,-6.75
294,0.84
295,-1.08
296,7.84
297,1.50
298,O/L
299,1.20
300,1.06
301,1.00
302,11.80
303,0
304,0
305,0
306,0
307,0
308,2
309,3.50
310,0
311,1.71
312,79.68
313,Off
314,10.14
315,0.00
316,0
317,2.91
318,1.00
319,1.57
320,0.64
321,1.57
322,4.36
323,1.57
324,0
325,60
326,Off
327,201.63
328,0.94
329,18.76
330,OK
331,0.94
332,975
333,-1.50
334,14.57
335,1040
336,Off
337,0
338,-0.21
339,-0.03
340,0.61
341,-0.04
342,On
343,Off
344,Off
345,Off
346,Off
347,86.25
348,7.84
349,0
350,2.28
351,41.96
352,407.70
353,400
354,On
355,10.00
356,28
357,-710
358,-6.75
359,0.84
360,-1.08
361,7.84
362,1.50
363,O/L
