Num,1. A/C Compressor Active (A/C Pressure)
1,Off
2,444.40
3,0.41
4,8.02
5,OK
6,0.94
7,975
8,15.75
9,14.43
10,970
11,On
12,28.24
13,-0.84
14,-0.05
15,8.45
16,-0.06
17,On
18,Off
19,Off
20,Off
21,Off
22,87.75
23,7.84
24,0
25,2.28
26,39.22
27,398.78
28,400
29,On
30,43.90
31,30
32,-90
33,9.75
34,1.40
35,-1.05
36,7.84
37,17.25
38,C/L
39,0.10
40,1.04
41,1.00
42,9.30
43,0
44,0
45,0
46,0
47,0
48,0
49,9
50,0
51,1.53
52,79.68
53,Off
54,1.01
55,0.12
56,2.73
57,3.61
58,0.99
59,1.57
60,0.64
61,1.18
62,4.37
63,1.96
64,0
65,20
66,Off
67,444.40
68,0.41
69,8.02
70,OK
71,0.94
72,975
73,15.75
74,14.43
75,970
76,On
77,28.24
78,-0.84
79,-0.05
80,8.45
81,-0.06
82,On
83,Off
84,Off
85,Off
86,Off
87,87.75
88,7.84
89,0
90,2.28
91,39.22
92,398.78
93,400
94,On
95,43.90
96,30
97,-90
98,9.75
99,1.40
100,-1.05
101,7.84
102,17.25
103,C/L
104,0.10
105,1.04
106,1.00
107,9.30
108,0
109,0
110,0
111,0
112,0
113,0
114,9
115,0
116,1.53
117,79.68
118,Off
119,1.01
120,0.12
121,2.73
122,3.61
123,0.99
124,1.57
125,0.64
126,1.18
127,4.37
128,1.96
129,0
130,20
131,Off
132,444.40
133,0.41
134,8.02
135,OK
136,0.94
137,975
138,15.75
139,14.43
140,970
141,On
142,28.24
143,-0.84
144,-0.05
145,8.45
146,-0.06
147,On
148,Off
149,Off
150,Off
151,Off
152,87.75
153,7.84
154,0
155,2.28
156,39.22
157,398.78
158,400
159,On
160,43.90
161,30
162,-90
163,9.75
164,1.40
165,-1.05
166,7.84
167,17.25
168,C/L
169,0.10
170,1.04
171,1.00
172,9.30
173,0
174,0
175,0
176,0
177,0
178,0
179,9
180,0
181,1.53
182,79.68
183,Off
184,1.01
185,0.12
186,2.73
187,3.61
188,0.99
189,1.57
190,0.64
191,1.18
192,4.37
193,1.96
194,0
195,20
196,Off
197,444.40
198,0.41
199,8.02
200,OK
201,0.94
202,975
203,15.75
204,14.43
205,970
206,On
207,28.24
208,-0.84
209,-0.05
210,8.45
211,-0.06
212,On
213,Off
214,Off
215,Off
216,Off
217,87.75
218,7.84
219,0
220,2.28
221,39.22
222,398.78
223,400
224,On
225,43.90
226,30
227,-90
228,9.75
229,1.40
230,-1.05
231,7.84
232,17.25
233,C/L
234,0.10
235,1.04
236,1.00
237,9.30
238,0
239,0
240,0
241,0
242,0
243,0
244,9
245,0
246,1.53
247,79.68
248,Off
249,1.01
250,0.12
251,2.73
252,3.61
253,0.99
254,1.57
255,0.64
256,1.18
257,4.37
258,1.96
259,0
260,20
261,Off
262,444.40
263,0.41
264,8.02
265,OK
266,0.94
267,975
268,15.75
269,14.43
270,970
271,On
272,28.24
273,-0.84
274,-0.05
275,8.45
276,-0.06
277,On
278,Off
279,Off
280,Off
281,Off
282,87.75
283,7.84
284,0
285,2.28
286,39.22
287,398.78
288,400
289,On
290,43.90
291,30
292,-90
293,9.75
294,1.40
295,-1.05
296,7.84
297,17.25
298,C/L
299,0.10
300,1.04
301,1.00
302,9.30
303,0
304,0
305,0
306,0
307,0
308,0
309,9
310,0
311,1.53
312,79.68
313,Off
314,1.01
315,0.12
316,2.73
317,3.61
318,0.99
319,1.57
320,0.64
321,1.18
322,4.37
323,1.96
324,0
325,20
326,Off
327,444.40
328,0.41
329,8.02
330,OK
331,0.94
332,975
333,15.75
334,14.43
335,970
336,On
337,28.24
338,-0.84
339,-0.05
340,8.45
341,-0.06
342,On
343,Off
344,Off
345,Off
346,Off
347,87.75
348,7.84
349,0
350,2.28
351,39.22
352,398.78
353,400
354,On
355,43.90
356,30
357,-90
358,9.75
359,1.40
360,-1.05
361,7.84
362,17.25
363,C/L
364,0.10
365,1.04
366,1.00
367,9.30
368,0
369,0
370,0
371,0
372,0
373,0
374,9
375,0
376,1.53
377,79.68
378,Off
379,1.01
380,0.12
381,2.73
382,3.61
383,0.99
384,1.57
385,0.64
386,1.18
387,4.37
388,1.96
389,0
390,20
391,Off
392,444.40
393,0.41
394,8.02
395,OK
396,0.94
397,975
398,15.75
399,14.43
400,970
401,On
402,28.24
403,-0.84
404,-0.05
405,8.45
406,-0.06
407,On
408,Off
409,Off
410,Off
411,Off
412,87.75
413,7.84
414,0
415,2.28
416,39.22
417,398.78
418,400
419,On
420,43.90
421,30
422,-90
423,9.75
424,1.40
425,-1.05
426,7.84
427,17.25
428,C/L
429,0.10
430,1.04
431,1.00
432,9.30
433,0
434,0
435,0
436,0
437,0
438,0
439,9
440,0
441,1.53
442,79.68
443,Off
444,1.01
445,0.12
446,2.73
447,3.61
448,0.99
449,1.57
450,0.64
451,1.18
452,4.37
453,1.96
454,0
455,20
456,Off
457,444.40
458,0.41
459,8.02
460,OK
461,0.94
462,975
463,15.75
464,14.43
465,970
466,On
467,28.24
468,-0.84
469,-0.05
470,8.45
471,-0.06
472,On
473,Off
474,Off
475,Off
476,Off
477,87.75
478,7.84
479,0
480,2.28
481,39.22
482,398.78
483,400
484,On
485,43.90
486,30
487,-90
488,9.75
489,1.40
490,-1.05
491,7.84
492,17.25
493,C/L
494,0.10
495,1.04
496,1.00
497,9.30
498,0
499,0
500,0
501,0
502,0
503,0
504,9
505,0
506,1.53
507,79.68
508,Off
509,1.01
510,0.12
511,2.73
512,3.61
513,0.99
514,1.57
515,0.64
516,1.18
517,4.37
518,1.96
519,0
520,20
521,Off
522,444.40
523,0.41
524,8.02
525,OK
526,0.94
527,975
528,15.75
529,14.43
530,970
531,On
532,28.24
533,-0.84
534,-0.05
535,8.45
536,-0.06
537,On
538,Off
539,Off
540,Off
541,Off
542,87.75
543,7.84
544,0
545,2.28
546,39.22
547,398.78
548,400
549,On
550,43.90
551,30
552,-90
553,9.75
554,1.40
555,-1.05
556,7.84
557,17.25
558,C/L
559,0.10
560,1.04
561,1.00
562,9.30
563,0
564,0
565,0
566,0
567,0
568,0
569,9
570,0
571,1.53
572,79.68
573,Off
574,1.01
575,0.12
576,2.73
577,3.61
578,0.99
579,1.57
580,0.64
581,1.18
582,4.37
583,1.96
584,0
585,20
586,Off
587,444.40
588,0.41
589,8.02
590,OK
591,0.94
592,975
593,15.75
594,14.43
595,970
596,On
597,28.24
598,-0.84
599,-0.05
600,8.45
601,-0.06
602,On
603,Off
604,Off
605,Off
606,Off
607,87.75
608,7.84
609,0
610,2.28
611,39.22
612,398.78
613,400
614,On
615,43.90
616,30
617,-90
618,9.75
619,1.40
620,-1.05
621,7.84
622,17.25
623,C/L
624,0.10
625,1.04
626,1.00
627,9.30
628,0
629,0
630,0
631,0
632,0
633,0
634,9
635,0
636,1.53
637,79.68
638,Off
639,1.01
640,0.12
641,2.73
642,3.61
643,0.99
644,1.57
645,0.64
646,1.18
647,4.37
648,1.96
649,0
650,20
651,Off
652,444.40
653,0.41
654,8.02
655,OK
656,0.94
657,975
658,15.75
659,14.43
660,970
661,On
662,28.24
663,-0.84
664,-0.05
665,8.45
666,-0.06
667,On
668,Off
669,Off
670,Off
671,Off
672,87.75
673,7.84
674,0
675,2.28
676,39.22
677,398.78
678,400
679,On
680,43.90
681,30
682,-90
683,9.75
684,1.40
685,-1.05
686,7.84
687,17.25
688,C/L
689,0.10
690,1.04
691,1.00
692,9.30
693,0
694,0
695,0
696,0
697,0
698,0
699,9
700,0
701,1.53
702,79.68
703,Off
704,1.01
705,0.12
706,2.73
707,3.61
708,0.99
709,1.57
710,0.64
711,1.18
712,4.37
713,1.96
714,0
715,20
716,Off
717,444.40
718,0.41
719,8.02
720,OK
721,0.94
722,975
723,15.75
724,14.43
725,970
726,Off
727,28.24
728,-0.84
729,-0.05
730,8.45
731,-0.06
732,On
733,Off
734,Off
735,Off
736,Off
737,87.75
738,7.84
739,0
740,2.28
741,39.22
742,398.78
743,400
744,On
745,43.90
746,30
747,-90
748,9.75
749,1.40
750,-1.05
751,7.84
752,17.25
753,C/L
754,0.10
755,1.04
756,1.00
757,9.30
758,0
759,0
760,0
761,0
762,0
763,0
764,9
765,0
766,1.53
767,79.68
768,Off
769,1.01
770,0.12
771,2.73
772,3.61
773,0.99
774,1.57
775,0.64
776,1.18
777,4.37
778,1.96
779,0
780,20
781,Off
782,444.40
783,0.41
784,8.02
785,OK
786,0.94
787,975
788,15.75
789,14.43
790,970
791,Off
792,0
793,-0.84
794,-0.05
795,8.45
796,-0.06
797,On
798,Off
799,Off
800,Off
801,Off
802,87.75
803,7.84
804,0
805,2.28
806,39.22
807,398.78
808,400
809,On
810,43.90
811,30
812,-90
813,9.75
814,1.40
815,-1.05
816,7.84
817,17.25
818,C/L
819,0.10
820,1.04
821,1.00
822,9.30
823,0
824,0
825,0
826,0
827,0
828,0
829,9
830,0
831,1.53
832,79.68
833,Off
834,1.01
835,0.12
836,2.73
837,3.61
838,0.99
839,1.57
840,0.64
841,1.18
842,4.37
843,1.96
844,0
845,20
846,Off
847,444.40
848,0.41
849,8.02
850,OK
851,0.94
852,975
853,15.75
854,14.43
855,970
856,Off
857,0
858,-0.58
859,-0.05
860,8.45
861,-0.06
862,On
863,Off
864,Off
865,Off
866,Off
867,87.75
868,7.84
869,0
870,2.28
871,39.22
872,398.78
873,400
874,On
875,43.90
876,30
877,-90
878,9.75
879,1.40
880,-1.05
881,7.84
882,17.25
883,C/L
884,0.10
885,1.04
886,1.00
887,9.30
888,0
889,0
890,0
891,0
892,0
893,0
894,9
895,0
896,1.53
897,79.68
898,Off
899,1.01
900,0.12
901,2.73
902,3.61
903,0.99
904,1.57
905,0.64
906,1.18
907,4.37
908,1.96
909,0
910,20
911,Off
912,444.40
913,0.41
914,8.02
915,OK
916,0.94
917,975
918,15.75
919,14.43
920,970
921,Off
922,0
923,-0.58
924,0.08
925,8.45
926,-0.06
927,On
928,Off
929,Off
930,Off
931,Off
932,87.75
933,7.84
934,0
935,2.28
936,39.22
937,398.78
938,400
939,On
940,43.90
941,30
942,-90
943,9.75
944,1.40
945,-1.05
946,7.84
947,17.25
948,C/L
949,0.10
950,1.04
951,1.00
952,9.30
953,0
954,0
955,0
956,0
957,0
958,0
959,9
960,0
961,1.53
962,79.68
963,Off
964,1.01
965,0.12
966,2.73
967,3.61
968,0.99
969,1.57
970,0.64
971,1.18
972,4.37
973,1.96
974,0
975,20
976,Off
977,444.40
978,0.41
979,8.02
980,OK
981,0.94
982,975
983,15.75
984,14.43
985,970
986,Off
987,0
988,-0.58
989,0.08
990,8.78
991,-0.06
992,On
993,Off
994,Off
995,Off
996,Off
997,87.75
998,7.84
999,0
1000,2.28
1001,39.22
1002,398.78
1003,400
1004,On
1005,43.90
1006,30
1007,-90
1008,9.75
1009,1.40
1010,-1.05
1011,7.84
1012,17.25
1013,C/L
1014,0.10
1015,1.04
1016,1.00
1017,9.30
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,9
1025,0
1026,1.53
1027,79.68
1028,Off
1029,1.01
1030,0.12
1031,2.73
1032,3.61
1033,0.99
1034,1.57
1035,0.64
1036,1.18
1037,4.37
1038,1.96
1039,0
1040,20
1041,Off
1042,444.40
1043,0.41
1044,8.02
1045,OK
1046,0.94
1047,975
1048,15.75
1049,14.43
1050,970
1051,Off
1052,0
1053,-0.58
1054,0.08
1055,8.78
1056,0.02
1057,On
1058,Off
1059,Off
1060,Off
1061,Off
1062,87.75
1063,7.84
1064,0
1065,2.28
1066,39.22
1067,398.78
1068,400
1069,On
1070,43.90
1071,30
1072,-90
1073,9.75
1074,1.40
1075,-1.05
1076,7.84
1077,17.25
1078,C/L
1079,0.10
1080,1.04
1081,1.00
1082,9.30
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,9
1090,0
1091,1.53
1092,79.68
1093,Off
1094,1.01
1095,0.12
1096,2.73
1097,3.61
1098,0.99
1099,1.57
1100,0.64
1101,1.18
1102,4.37
1103,1.96
1104,0
1105,20
1106,Off
1107,444.40
1108,0.41
1109,8.02
1110,OK
1111,0.94
1112,975
1113,15.75
1114,14.43
1115,970
1116,Off
1117,0
1118,-0.58
1119,0.08
1120,8.78
1121,0.02
1122,On
1123,Off
1124,Off
1125,Off
1126,Off
1127,87.75
1128,7.84
1129,0
1130,2.28
1131,39.22
1132,398.78
1133,400
1134,On
1135,43.90
1136,30
1137,-90
1138,9.75
1139,1.40
1140,-1.05
1141,7.84
1142,17.25
1143,C/L
1144,0.10
1145,1.04
1146,1.00
1147,9.30
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,9
1155,0
1156,1.53
1157,79.68
1158,Off
1159,1.01
1160,0.12
1161,2.73
1162,3.61
1163,0.99
1164,1.57
1165,0.64
1166,1.18
1167,4.37
1168,1.96
1169,0
1170,20
1171,Off
1172,444.40
1173,0.41
1174,8.02
1175,OK
1176,0.94
1177,975
1178,15.75
1179,14.43
1180,970
1181,Off
1182,0
1183,-0.58
1184,0.08
1185,8.78
1186,0.02
1187,On
1188,Off
1189,Off
1190,Off
1191,Off
1192,87.75
1193,7.84
1194,0
1195,2.28
1196,39.22
1197,398.78
1198,400
1199,On
1200,43.90
1201,30
1202,-90
1203,9.75
1204,1.40
1205,-1.05
1206,7.84
1207,17.25
1208,C/L
1209,0.10
1210,1.04
1211,1.00
1212,9.30
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,9
1220,0
1221,1.53
1222,79.68
1223,Off
1224,1.01
1225,0.12
1226,2.73
1227,3.61
1228,0.99
1229,1.57
1230,0.64
1231,1.18
1232,4.37
1233,1.96
1234,0
1235,20
1236,Off
1237,444.40
1238,0.41
1239,8.02
1240,OK
1241,0.94
1242,975
1243,15.75
1244,14.43
1245,970
1246,Off
1247,0
1248,-0.58
1249,0.08
1250,8.78
1251,0.02
1252,On
1253,Off
1254,Off
1255,Off
1256,Off
1257,87.75
1258,7.84
1259,0
1260,2.28
1261,39.22
1262,398.78
1263,400
1264,On
1265,43.90
1266,30
1267,-90
1268,9.75
1269,1.40
1270,-1.05
1271,7.84
1272,17.25
1273,C/L
1274,0.10
1275,1.04
1276,1.00
1277,9.30
1278,0
1279,0
1280,0
1281,0
1282,0
1283,0
1284,9
1285,0
1286,1.53
1287,79.68
1288,Off
1289,1.01
1290,0.12
1291,2.73
1292,3.61
1293,0.99
1294,1.57
1295,0.64
1296,1.18
1297,4.37
1298,1.96
1299,0
1300,20
1301,Off
1302,444.40
1303,0.41
1304,8.02
1305,OK
1306,0.94
1307,975
1308,15.75
1309,14.43
1310,970
1311,Off
1312,0
1313,-0.58
1314,0.08
1315,8.78
1316,0.02
1317,On
1318,Off
1319,Off
1320,Off
1321,Off
1322,87.75
1323,7.84
1324,0
1325,2.28
1326,39.22
1327,398.78
1328,400
1329,On
1330,43.90
1331,30
1332,-90
1333,9.75
1334,1.40
1335,-1.05
1336,7.84
1337,17.25
1338,C/L
1339,0.10
1340,1.04
1341,1.00
1342,9.30
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,9
1350,0
1351,1.53
1352,79.68
1353,Off
1354,1.01
1355,0.12
1356,2.73
1357,3.61
1358,0.99
1359,1.57
1360,0.64
1361,1.18
1362,4.37
1363,1.96
1364,0
1365,20
1366,Off
1367,444.40
1368,0.41
1369,8.02
1370,OK
1371,0.94
1372,975
1373,15.75
1374,14.43
1375,970
1376,Off
1377,0
1378,-0.58
1379,0.08
1380,8.78
1381,0.02
1382,On
1383,Off
1384,Off
1385,Off
1386,Off
1387,87.75
1388,7.84
1389,0
1390,2.28
1391,39.22
1392,398.78
1393,400
1394,On
1395,43.90
1396,30
1397,-90
1398,9.75
1399,1.40
1400,-1.05
1401,7.84
1402,17.25
1403,C/L
1404,0.10
1405,1.04
1406,1.00
1407,9.30
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
1414,9
1415,0
1416,1.53
1417,79.68
1418,Off
1419,1.01
1420,0.12
1421,2.73
1422,3.61
1423,0.99
1424,1.57
1425,0.64
1426,1.18
1427,4.37
1428,1.96
1429,0
1430,20
1431,Off
1432,444.40
1433,0.41
1434,8.02
1435,OK
1436,0.94
1437,975
1438,15.75
1439,14.43
1440,970
1441,Off
1442,0
1443,-0.58
1444,0.08
1445,8.78
1446,0.02
1447,On
1448,Off
1449,Off
1450,Off
1451,Off
1452,90.00
1453,7.84
1454,0
1455,2.28
1456,39.22
1457,398.78
1458,400
1459,On
1460,43.90
1461,30
1462,-90
1463,9.75
1464,1.40
1465,-1.05
1466,7.84
1467,17.25
1468,C/L
1469,0.10
1470,1.04
1471,1.00
1472,9.30
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,9
1480,0
1481,1.53
1482,79.68
1483,Off
1484,1.01
1485,0.12
1486,2.73
1487,3.61
1488,0.99
1489,1.57
1490,0.64
1491,1.18
1492,4.37
1493,1.96
1494,0
1495,20
1496,Off
1497,444.40
1498,0.41
1499,8.02
1500,OK
1501,0.94
1502,975
1503,15.75
1504,14.43
1505,970
1506,Off
1507,0
1508,-0.58
1509,0.08
1510,8.78
1511,0.02
1512,On
1513,Off
1514,Off
1515,Off
1516,Off
1517,90.00
1518,7.84
1519,0
1520,2.28
1521,39.22
1522,398.78
1523,400
1524,On
1525,43.90
1526,30
1527,-90
1528,9.75
1529,1.40
1530,-1.05
1531,7.84
1532,17.25
1533,C/L
1534,0.10
1535,1.04
1536,1.00
1537,9.30
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,9
1545,0
1546,1.53
1547,79.68
1548,Off
1549,1.01
1550,0.12
1551,2.73
1552,3.61
1553,0.99
1554,1.57
1555,0.64
1556,1.18
1557,4.37
1558,1.96
1559,0
1560,20
1561,Off
1562,444.40
1563,0.41
1564,8.02
1565,OK
1566,0.94
1567,975
1568,15.75
1569,14.43
1570,970
1571,Off
1572,0
1573,-0.58
1574,0.08
1575,8.78
1576,0.02
1577,On
1578,Off
1579,Off
1580,Off
1581,Off
1582,90.00
1583,7.84
1584,1.09
1585,2.28
1586,39.22
1587,398.78
1588,400
1589,On
1590,43.90
1591,30
1592,-90
1593,9.75
1594,1.40
1595,-1.05
1596,7.84
1597,17.25
1598,C/L
1599,0.10
1600,1.04
1601,1.00
1602,9.30
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,9
1610,0
1611,1.53
1612,79.68
1613,Off
1614,1.01
1615,0.12
1616,2.73
1617,3.61
1618,0.99
1619,1.57
1620,0.64
1621,1.18
1622,4.37
1623,1.96
1624,0
1625,20
1626,Off
1627,444.40
1628,0.41
1629,8.02
1630,OK
1631,0.94
1632,975
1633,15.75
1634,14.43
1635,970
1636,Off
1637,0
1638,-0.58
1639,0.08
1640,8.78
1641,0.02
1642,On
1643,Off
1644,Off
1645,Off
1646,Off
1647,90.00
1648,7.84
1649,1.09
1650,2.28
1651,39.22
1652,398.78
1653,400
1654,On
1655,43.90
1656,30
1657,-90
1658,9.75
1659,1.40
1660,-1.05
1661,7.84
1662,17.25
1663,C/L
1664,0.10
1665,1.04
1666,1.00
1667,9.30
1668,0
1669,0
1670,0
1671,0
1672,0
1673,0
1674,9
1675,0
1676,1.53
1677,79.68
1678,Off
1679,1.01
1680,0.12
1681,2.73
1682,3.61
1683,0.99
1684,1.57
1685,0.64
1686,1.18
1687,4.37
1688,1.96
1689,0
1690,20
1691,Off
1692,444.40
1693,0.41
1694,8.02
1695,OK
1696,0.94
1697,975
1698,15.75
1699,14.43
1700,970
1701,Off
1702,0
1703,-0.58
1704,0.08
1705,8.78
1706,0.02
1707,On
1708,Off
1709,Off
1710,Off
1711,Off
1712,90.00
1713,7.84
1714,1.09
1715,2.28
1716,48.63
1717,398.78
1718,400
1719,On
1720,43.90
1721,30
1722,-90
1723,9.75
1724,1.40
1725,-1.05
1726,7.84
1727,17.25
1728,C/L
1729,0.10
1730,1.04
1731,1.00
1732,9.30
1733,0
1734,0
1735,0
1736,0
1737,0
1738,0
1739,9
1740,0
1741,1.53
1742,79.68
1743,Off
1744,1.01
1745,0.12
1746,2.73
1747,3.61
1748,0.99
1749,1.57
1750,0.64
1751,1.18
1752,4.37
1753,1.96
1754,0
1755,20
1756,Off
1757,444.40
1758,0.41
1759,8.02
1760,OK
1761,0.94
1762,975
1763,15.75
1764,14.43
1765,970
1766,Off
1767,0
1768,-0.58
1769,0.08
1770,8.78
1771,0.02
1772,On
1773,Off
1774,Off
1775,Off
1776,Off
1777,90.00
1778,7.84
1779,1.09
1780,2.28
1781,48.63
1782,395.66
1783,400
1784,On
1785,43.90
1786,30
1787,-90
1788,9.75
1789,1.40
1790,-1.05
1791,7.84
1792,17.25
1793,C/L
1794,0.10
1795,1.04
1796,1.00
1797,9.30
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,9
1805,0
1806,1.53
1807,79.68
1808,Off
1809,1.01
1810,0.12
1811,2.73
1812,3.61
1813,0.99
1814,1.57
1815,0.64
1816,1.18
1817,4.37
1818,1.96
1819,0
1820,20
1821,Off
1822,444.40
1823,0.41
1824,8.02
1825,OK
1826,0.94
1827,975
1828,15.75
1829,14.43
1830,970
1831,Off
1832,0
1833,-0.58
1834,0.08
1835,8.78
1836,0.02
1837,On
1838,Off
1839,Off
1840,Off
1841,Off
1842,90.00
1843,7.84
1844,1.09
1845,2.28
1846,48.63
1847,395.66
1848,400
1849,On
1850,43.90
1851,30
1852,-90
1853,9.75
1854,1.40
1855,-1.05
1856,7.84
1857,17.25
1858,C/L
1859,0.10
1860,1.04
1861,1.00
1862,9.30
1863,0
1864,0
1865,0
1866,0
1867,0
1868,0
1869,9
1870,0
1871,1.53
1872,79.68
1873,Off
1874,1.01
1875,0.12
1876,2.73
1877,3.61
1878,0.99
1879,1.57
1880,0.64
1881,1.18
1882,4.37
1883,1.96
1884,0
1885,20
1886,Off
1887,444.40
1888,0.41
1889,8.02
1890,OK
1891,0.94
1892,975
1893,15.75
1894,14.43
1895,970
1896,Off
1897,0
1898,-0.58
1899,0.08
1900,8.78
1901,0.02
1902,On
1903,Off
1904,Off
1905,Off
1906,Off
1907,90.00
1908,7.84
1909,1.09
1910,2.28
1911,48.63
1912,395.66
1913,400
1914,On
1915,43.90
1916,30
1917,-90
1918,9.75
1919,1.40
1920,-1.05
1921,7.84
1922,17.25
1923,C/L
1924,0.10
1925,1.04
1926,1.00
1927,9.30
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,9
1935,0
1936,1.53
1937,79.68
1938,Off
1939,1.01
1940,0.12
1941,2.73
1942,3.61
1943,0.99
1944,1.57
1945,0.64
1946,1.18
1947,4.37
1948,1.96
1949,0
1950,20
1951,Off
1952,444.40
1953,0.41
1954,8.02
1955,OK
1956,0.94
1957,975
1958,15.75
1959,14.43
1960,970
1961,Off
1962,0
1963,-0.58
1964,0.08
1965,8.78
1966,0.02
1967,On
1968,Off
1969,Off
1970,Off
1971,Off
1972,90.00
1973,7.84
1974,1.09
1975,2.28
1976,48.63
1977,395.66
1978,400
1979,On
1980,47.29
1981,30
1982,-90
1983,9.75
1984,1.40
1985,-1.05
1986,7.84
1987,17.25
1988,C/L
1989,0.10
1990,1.04
1991,1.00
1992,9.30
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,9
2000,0
2001,1.53
2002,79.68
2003,Off
2004,1.01
2005,0.12
2006,2.73
2007,3.61
2008,0.99
2009,1.57
2010,0.64
2011,1.18
2012,4.37
2013,1.96
2014,0
2015,20
2016,Off
2017,444.40
2018,0.41
2019,8.02
2020,OK
2021,0.94
2022,975
2023,15.75
2024,14.43
2025,970
2026,Off
2027,0
2028,-0.58
2029,0.08
2030,8.78
2031,0.02
2032,On
2033,Off
2034,Off
2035,Off
2036,Off
2037,90.00
2038,7.84
2039,1.09
2040,2.28
2041,48.63
2042,395.66
2043,400
2044,On
2045,47.29
2046,29
2047,-90
2048,9.75
2049,1.40
2050,-1.05
2051,7.84
2052,17.25
2053,C/L
2054,0.10
2055,1.04
2056,1.00
2057,9.30
2058,0
2059,0
2060,0
2061,0
2062,0
2063,0
2064,9
2065,0
2066,1.53
2067,79.68
2068,Off
2069,1.01
2070,0.12
2071,2.73
2072,3.61
2073,0.99
2074,1.57
2075,0.64
2076,1.18
2077,4.37
2078,1.96
2079,0
2080,20
2081,Off
2082,444.40
2083,0.41
2084,8.02
2085,OK
2086,0.94
2087,975
2088,15.75
2089,14.43
2090,970
2091,Off
2092,0
2093,-0.58
2094,0.08
2095,8.78
2096,0.02
2097,On
2098,Off
2099,Off
2100,Off
2101,Off
2102,90.00
2103,7.84
2104,1.09
2105,2.28
2106,48.63
2107,395.66
2108,400
2109,On
2110,47.29
2111,29
2112,-50
2113,9.75
2114,1.40
2115,-1.05
2116,7.84
2117,17.25
2118,C/L
2119,0.10
2120,1.04
2121,1.00
2122,9.30
2123,0
2124,0
2125,0
2126,0
2127,0
2128,0
2129,9
2130,0
2131,1.53
2132,79.68
2133,Off
2134,1.01
2135,0.12
2136,2.73
2137,3.61
2138,0.99
2139,1.57
2140,0.64
2141,1.18
2142,4.37
2143,1.96
2144,0
2145,20
2146,Off
2147,444.40
2148,0.41
2149,8.02
2150,OK
2151,0.94
2152,975
2153,15.75
2154,14.43
2155,970
2156,Off
2157,0
2158,-0.58
2159,0.08
2160,8.78
2161,0.02
2162,On
2163,Off
2164,Off
2165,Off
2166,Off
2167,90.00
2168,7.84
2169,1.09
2170,2.28
2171,48.63
2172,395.66
2173,400
2174,On
2175,47.29
2176,29
2177,-50
2178,-4.50
2179,1.40
2180,-1.05
2181,7.84
2182,17.25
2183,C/L
2184,0.10
2185,1.04
2186,1.00
2187,9.30
2188,0
2189,0
2190,0
2191,0
2192,0
2193,0
2194,9
2195,0
2196,1.53
2197,79.68
2198,Off
2199,1.01
2200,0.12
2201,2.73
2202,3.61
2203,0.99
2204,1.57
2205,0.64
2206,1.18
2207,4.37
2208,1.96
2209,0
2210,20
2211,Off
2212,444.40
2213,0.41
2214,8.02
2215,OK
2216,0.94
2217,975
2218,15.75
2219,14.43
2220,970
2221,Off
2222,0
2223,-0.58
2224,0.08
2225,8.78
2226,0.02
2227,On
2228,Off
2229,Off
2230,Off
2231,Off
2232,90.00
2233,7.84
2234,1.09
2235,2.28
2236,48.63
2237,395.66
2238,400
2239,On
2240,47.29
2241,29
2242,-50
2243,-4.50
2244,2.74
2245,-1.05
2246,7.84
2247,17.25
2248,C/L
2249,0.10
2250,1.04
2251,1.00
2252,9.30
2253,0
2254,0
2255,0
2256,0
2257,0
2258,0
2259,9
2260,0
2261,1.53
2262,79.68
2263,Off
2264,1.01
2265,0.12
2266,2.73
2267,3.61
2268,0.99
2269,1.57
