Num,1. A/C Compressor Active (A/C Pressure)
1,Off
2,323.02
3,0.67
4,13.31
5,OK
6,0.94
7,970
8,-1.50
9,14.57
10,980
11,Off
12,0
13,0.09
14,-0.06
15,8.99
16,0.28
17,On
18,Off
19,Off
20,Off
21,Off
22,69.00
23,7.84
24,0.22
25,1.97
26,41.57
27,396.10
28,400
29,On
30,45.16
31,23
32,10
33,11.25
34,2.18
35,-1.11
36,7.84
37,11.25
38,C/L
39,0.10
40,1.03
41,1.00
42,12.40
43,0
44,0
45,0
46,0
47,0
48,0
49,9
50,0
51,2.22
52,79.68
53,Off
54,1.01
55,0.66
56,0
57,3.42
58,0.99
59,2.75
60,0.71
61,3.53
62,4.27
63,4.31
64,0
65,3
66,Off
67,323.02
68,0.67
69,13.31
70,OK
71,0.94
72,970
73,-1.50
74,14.57
75,980
76,Off
77,0
78,0.09
79,-0.06
80,8.99
81,0.28
82,On
83,Off
84,Off
85,Off
86,Off
87,69.00
88,7.84
89,0.22
90,1.97
91,41.57
92,396.10
93,400
94,On
95,45.16
96,23
97,10
98,11.25
99,2.18
100,-1.11
101,7.84
102,11.25
103,C/L
104,0.10
105,1.03
106,1.00
107,12.40
108,0
109,0
110,0
111,0
112,0
113,0
114,9
115,0
116,2.22
117,79.68
118,Off
119,1.01
120,0.66
121,0
122,3.42
123,0.99
124,2.75
125,0.71
126,3.53
127,4.27
128,4.31
129,0
130,3
131,Off
132,323.02
133,0.67
134,13.31
135,OK
136,0.94
137,970
138,-1.50
139,14.57
140,980
141,Off
142,0
143,0.09
144,-0.06
145,8.99
146,0.28
147,On
148,Off
149,Off
150,Off
151,Off
152,69.00
153,7.84
154,0.22
155,1.97
156,41.57
157,396.10
158,400
159,On
160,45.16
161,23
162,10
163,11.25
164,2.18
165,-1.11
166,7.84
167,11.25
168,C/L
169,0.10
170,1.03
171,1.00
172,12.40
173,0
174,0
175,0
176,0
177,0
178,0
179,9
180,0
181,2.22
182,79.68
183,Off
184,1.01
185,0.66
186,0
187,3.42
188,0.99
189,2.75
190,0.71
191,3.53
192,4.27
193,4.31
194,0
195,3
196,Off
197,323.02
198,0.68
199,13.31
200,OK
201,0.94
202,970
203,-1.50
204,14.57
205,980
206,Off
207,0
208,0.09
209,-0.06
210,8.99
211,0.28
212,On
213,Off
214,Off
215,Off
216,Off
217,69.00
218,7.84
219,0.22
220,1.97
221,41.57
222,396.10
223,400
224,On
225,45.16
226,23
227,10
228,11.25
229,2.18
230,-1.11
231,7.84
232,11.25
233,C/L
234,0.10
235,1.03
236,1.00
237,12.40
238,0
239,0
240,0
241,0
242,0
243,0
244,9
245,0
246,2.22
247,79.68
248,Off
249,1.01
250,0.66
251,0
252,3.42
253,0.99
254,2.75
255,0.71
256,3.53
257,4.27
258,4.31
259,0
260,3
261,Off
262,323.02
263,0.68
264,13.66
265,OK
266,0.94
267,970
268,-1.50
269,14.57
270,980
271,Off
272,0
273,0.09
274,-0.06
275,8.99
276,0.28
277,On
278,Off
279,Off
280,Off
281,Off
282,69.00
283,7.84
284,0.22
285,1.97
286,41.57
287,396.10
288,400
289,On
290,45.16
291,23
292,10
293,11.25
294,2.18
295,-1.11
296,7.84
297,11.25
298,C/L
299,0.10
300,1.03
301,1.00
302,12.40
303,0
304,0
305,0
306,0
307,0
308,0
309,9
310,0
