Num,1. A/C Compressor Active (A/C Pressure)
1,Off
2,188.15
3,0.94
4,18.76
5,OK
6,0.97
7,975
8,0.00
9,14.57
10,1070
11,Off
12,0
13,-0.42
14,-1.08
15,9.08
16,0.08
17,On
18,Off
19,Off
20,Off
21,Off
22,85.50
23,7.84
24,0
25,2.19
26,36.86
27,402.62
28,400
29,On
30,45.82
31,14
32,0
33,12.00
34,2.01
35,-1.00
36,7.84
37,0.75
38,C/L
39,0.40
40,1.06
41,1.00
42,31.10
43,0
44,0
45,0
46,0
47,0
48,0
49,2
50,0
51,15.01
52,79.68
53,Off
54,1.07
55,0.78
56,0
57,3.51
58,0.97
59,12.94
60,1.07
61,12.55
62,3.91
63,14.12
64,11.31
65,12
66,Off
67,188.15
68,0.94
69,18.76
70,OK
71,0.97
72,975
73,0.00
74,14.57
75,1070
76,Off
77,0
78,-0.42
79,-1.08
80,9.08
81,0.08
82,On
83,Off
84,Off
85,Off
86,Off
87,85.50
88,7.84
89,0
90,2.19
91,36.86
92,402.62
93,400
94,On
95,45.82
96,14
97,0
98,12.00
99,2.01
100,-1.00
101,7.84
102,0.75
103,C/L
104,0.40
105,1.06
106,1.00
107,31.10
108,0
109,0
110,0
111,0
112,0
113,0
114,2
115,0
116,15.01
117,79.68
118,Off
119,1.07
120,0.78
121,0
122,3.51
123,0.97
124,12.94
125,1.07
126,12.55
127,3.91
128,14.12
129,11.31
130,12
131,Off
132,188.15
133,0.94
134,18.76
135,OK
136,0.97
137,975
138,0.00
139,14.57
140,1070
141,Off
142,0
143,-0.42
144,-1.08
145,9.08
146,0.08
147,On
148,Off
149,Off
150,Off
151,Off
152,85.50
153,7.84
154,0
155,2.19
156,36.86
157,402.62
158,400
159,On
160,45.82
161,14
162,0
163,12.00
164,2.01
165,-1.00
166,7.84
167,0.75
168,C/L
169,0.40
170,1.06
171,1.00
172,31.10
173,0
174,0
175,0
176,0
177,0
178,0
179,2
180,0
181,15.01
182,79.68
183,Off
184,1.07
185,0.78
186,0
187,3.51
188,0.97
189,12.94
190,1.07
191,12.55
192,3.91
193,14.12
194,11.31
195,12
196,Off
197,188.15
198,1.14
199,18.76
200,OK
201,0.97
202,975
203,0.00
204,14.57
205,1070
206,Off
207,0
208,-0.42
209,-1.08
210,9.08
211,0.08
212,On
213,Off
214,Off
215,Off
216,Off
217,85.50
218,7.84
219,0
220,2.19
221,36.86
222,402.62
223,400
224,On
225,45.82
226,14
227,0
228,12.00
