,Count Codes(Include History),+BM Voltage [V],2nd Air Monitor,2nd Air Monitor.1,2nd Air Monitor CMPL,2nd Air Monitor ENA,4WD Switch,AC Monitor,AC Monitor.1,AC Monitor CMPL,AC Monitor ENA,AC Signal,Air/Fuel Heater Duty (Bank1 Sensor1) [%],Air/Fuel Heater Duty (Bank2 Sensor1) [%],A/T Oil Temperature 1 [degree C],A/T Oil Temperature 2 [degree C],Accel Fully Close Learn Count1 [deg],Accel Fully Close Learn Count2 [deg],Accel Sens. No.1 Volt % [%],Accel Sens. No.2 Volt % [%],Accel Sensor Out No.1 [V],Accel Sensor Out No.2 [V],Accelerator Idle Position,Accelerator Position [%],ACIS VSV,ACT VSV,Actuator Power Supply,AF Lambda (Bank1 Sensor1),AF Lambda (Bank2 Sensor1),AFS Current (Bank1 Sensor1) [mA],AFS Current (Bank2 Sensor1) [mA],AFS Voltage (Bank1 Sensor1) [V],AFS Voltage (Bank2 Sensor1) [V],All Cylinders Misfire Count,Atmosphere Pressure [kPa],Av Engine Speed of All Cyl [rpm],Battery Voltage [V],Calculate Load [%],Catalyst Misfire CylinderCount1,Catalyst Misfire CylinderCount2,Catalyst Misfire CylinderCount3,Catalyst Misfire CylinderCount4,Catalyst Misfire CylinderCount5,Catalyst Misfire CylinderCount6,Catalyst Misfire History,Catalyst Monitor,Catalyst Monitor.1,Catalyst Monitor CMPL,Catalyst Monitor ENA,Catalyst OT MF F/C,Catalyst Temp (Bank1 Sensor1) [degree C],Catalyst Temp B1S2 [degree C],Catalyst Temp (Bank2 Sensor1) [degree C],Catalyst Temp B2S2 [degree C],Closed Throttle Position Switch,Complete Parts Monitor,Component Monitor CMPL,Component Monitor ENA,Coolant Temp [degree C],Cylinder Count1 Misfire Count,Cylinder Count2 Misfire Count,Cylinder Count3 Misfire Count,Cylinder Count4 Misfire Count,Cylinder Count5 Misfire Count,Cylinder Count6 Misfire Count,Cylinder Number,Destination,Dist Batt Cable Disconnect [km],Distance from DTC Cleared [km],EGR/VVT Monitor,EGR/VVT Monitor.1,EGR/VVT Monitor CMPL,EGR/VVT Monitor ENA,Electrical Load Signal 1,Electrical Load Signal 2,Engine Run Time [s],Engine Speed [rpm],Engine Speed of Cyl Count1 [rpm],Engine Speed of Cyl Count2 [rpm],Engine Speed of Cyl Count3 [rpm],Engine Speed of Cyl Count4 [rpm],Engine Speed of Cyl Count5 [rpm],Engine Speed of Cyl Count6 [rpm],Engine Type,EVAP (Purge) VSV [%],EVAP Monitor,EVAP Monitor.1,EVAP Monitor CMPL,EVAP Monitor ENA,Evap Purge Flow [%],EVAP Purge VSV,EVAP System Vent Valve,FC TAU,Fuel Cut Condition,Fuel Pump Speed Control,Fuel Pump/Speed Status,Fuel System Monitor,Fuel System Monitor CMPL,Fuel System Monitor ENA,Fuel System Monitor Result,Fuel System Status Count1,Fuel System Status Count2,Heated Cat Monitor CMPL,Heated Cat Monitor ENA,Heated Catalyst Monitor,Heated Catalyst Monitor.1,Heater Monitor CMPL,Heater Monitor ENA,Idle Fuel Cut,IG OFF Elapsed Time [min],IGN Advance [deg],Ignition Trig. Count,Immobiliser Communication,Initial Engine Coolant Temp [degree C],Initial Intake Air Temp [degree C],Injection Volum (Cylinder1) [ml],Injector(Port) [us],Intake Air [degree C],Knock Correct Learn Value [degree CA],Knock Feedback Value [degree CA],Lock Up,Long FT (Bank1 Sensor1) [%],Long FT (Bank2 Sensor1) [%],MAF [gm/s],MIL,MIL on Run Distance [km],MISFIRE LOAD [g/rev],Misfire Margin [%],Misfire Monitor,Misfire Monitor CMPL,Misfire Monitor ENA,MISFIRE RPM [rpm],Model Code,Model Year,Neutral Position Switch Signal,Number Of Emission DTC,O2 Heater B1S2,O2 Heater B2S2,O2 Heater Curr Val B1S2 [A],O2 Heater Curr Val B2S2 [A],O2S B1S2 [V],O2S B2S2 [V],O2S Impedance B1S2 [ohm],O2S Impedance B2S2 [ohm],O2S(Air/FuelS) Heater Monitor,O2S(Air/FuelS) Heater Monitor.1,O2S(Air/FuelS) Monitor,O2S(Air/FuelS) Monitor.1,O2S(Air/FuelS) Monitor CMPL,O2S(Air/FuelS) Monitor ENA,OBD Requirements,Open Side Malfunction,Power Steering Signal,Purge Cut VSV Duty [%],Purge Density Learn Value,Running Time from MIL ON [min],Shift Status,Shift Switch Status (2 Range),Shift Switch Status (3 Range),Shift Switch Status (D Range),Shift Switch Status (L Range),Shift Switch Status (R Range),Shift Switch Status(4 Range),Short FT (Bank1 Sensor1) [%],Short FT (Bank2 Sensor1) [%],SLT Solenoid Status,SLU Solenoid Status,SPD (NT) [rpm],SPD (SP2) [km/h],ST1,Starter Signal,Stop Light Switch,System Guard,System Identification,Target Air-Fuel Ratio,TC and TE1,TC Terminal,Throttle Fully Close Learn [V],Throttle Idle Position,Throttle Motor Current [A],Throttle Motor DUTY [%],Throttle Motor Duty (Close) [%],Throttle Motor Duty (Open) [%],Throttle Position Command [V],Throttle Position No.1 [V],Throttle Position No.2 [V],Throttle Require Position [V],Throttle Sens Open Pos Count1 [V],Throttle Sens Open Pos Count2 [V],Throttle Sensor Count2 Volt % [%],Throttle Sensor Position [%],Throttle Sensor Volt % [%],Time after DTC Cleared [min],TOTAL FT Count1,TOTAL FT Count2,Transfer L4,Transmission Type,Transmission Type2,Vacuum Pump,Vapor Pressure (Calculated) [kPa],Vapor Pressure Pump [kPa],Vehicle Load [%],Vehicle Speed [km/h],VN Turbo Type,VVT Aim Angle Count1 [%],VVT Aim Angle Count2 [%],VVT Change Angle Count1 [degree FR],VVT Change Angle Count2 [degree FR],VVT Control Status Count1,VVT Control Status Count2,VVT OCV Duty Count1 [%],VVT OCV Duty Count2 [%],Warmup Cycle Cleared DTC
count,119397.0,129404.0,18393.0,18389.0,18389.0,18391.0,18357.0,18358.0,18355.0,18356.0,18354.0,18356.0,119520.0,119521.0,122642.0,122641.0,122639.0,122636.0,122674.0,122670.0,122671.0,122668.0,18567.0,122632.0,18613.0,18636.0,18718.0,122664.0,122660.0,122662.0,122656.0,122659.0,122656.0,122658.0,129335.0,129370.0,138685.0,129334.0,18954.0,18975.0,19001.0,18981.0,19002.0,19105.0,19127.0,19137.0,19157.0,19232.0,19255.0,19276.0,122639.0,122602.0,122636.0,122602.0,19364.0,19388.0,19410.0,19470.0,129744.0,119363.0,119358.0,119360.0,119357.0,119362.0,119358.0,119361.0,19644.0,119361.0,119361.0,19716.0,19858.0,19940.0,19967.0,19996.0,20020.0,119300.0,138657.0,126421.0,126420.0,119704.0,119666.0,119701.0,119701.0,20438.0,122617.0,20495.0,20522.0,20621.0,20618.0,122612.0,20710.0,20735.0,20734.0,20794.0,20826.0,20853.0,20881.0,20912.0,20939.0,21005.0,21000.0,21029.0,21095.0,21089.0,21120.0,21185.0,21216.0,21245.0,21274.0,122591.0,129306.0,122556.0,21313.0,119260.0,122554.0,129264.0,122552.0,122550.0,129264.0,122549.0,21634.0,122582.0,122581.0,122544.0,21718.0,122544.0,122543.0,122540.0,21716.0,21869.0,21932.0,122570.0,21893.0,53696.0,21999.0,119275.0,22092.0,22088.0,122530.0,122530.0,122527.0,122526.0,122562.0,122523.0,22295.0,22364.0,22357.0,22421.0,22454.0,22485.0,22513.0,22545.0,22575.0,122550.0,122550.0,122546.0,22719.0,22749.0,22781.0,22810.0,22837.0,22869.0,23047.0,129590.0,129589.0,23101.0,23131.0,122534.0,122533.0,23255.0,23187.0,23245.0,23245.0,23273.0,122528.0,23430.0,23428.0,122487.0,23523.0,122521.0,122523.0,122521.0,122520.0,122483.0,122483.0,122479.0,122480.0,122478.0,122480.0,122476.0,122475.0,122477.0,122473.0,122508.0,122502.0,24194.0,24223.0,24255.0,24285.0,122501.0,122501.0,122499.0,126188.0,24400.0,122495.0,122460.0,122460.0,122458.0,24582.0,24614.0,122491.0,122488.0,119197.0
mean,0.0009662973106526965,12.05833728478254,0.18458109063230577,97.44807575180815,0.02494181304040459,0.04608025664727313,0.0,0.0,0.0,0.0,0.0,0.0,33.39497269912985,32.392220948619915,32.42659019748536,33.532846886440915,16.639292900300887,33.645486105221956,17.298494962257692,30.838952123583592,0.9707729618247181,1.5967012423778004,0.0,7.769997317176594,0.0,0.0,0.15519820493642483,0.8513284908367572,0.8511283303440405,0.036355472762550745,0.03762705452648057,2.804487758745791,2.803431744064701,0.017838216830536942,82.83737580701279,43692.48029711678,11.921408537332805,33.01057097901557,0.0,0.0,0.0,0.0,0.0,4.149699031667103,1.2983348146599047,93.63916313946805,93.54140340345566,93.1766152766223,93.06531628148534,92.9639274227018,485.2444651782875,348.84140470791664,470.6453219853877,348.8696179507675,0.0,0.0,0.0,0.014373908577298408,61.856263102725364,0.0003686234427753994,0.0003937733541111614,0.00023458445040214478,0.00011729517330361856,3.351150282334411e-05,0.00020945391176125606,5.013697941538694,0.0,262.39912534244854,262.36638432989,0.0,0.0,0.0,0.0,0.0,0.0,1070.2968566638726,1083.107082585084,43043.159314971395,43005.80914326055,42506.00055972231,42506.57002349038,42481.74785365201,42469.3395991178,0.0001801056854878168,38.26065987587366,0.04269333983898512,0.0459994152616704,-0.005091896610251685,0.0,3.0167520715753766,0.009242636407532595,0.006108512177477695,0.0,0.0,0.0,0.1273198100992663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015643143733773898,0.0015250282805429863,0.0012379383384325724,0.001154460844222995,460.73952698811496,16.52475565712341,137.05089918078266,0.0,40.127788026161326,13.790186366826052,0.1648603323431118,3420.5093184933744,8.713219094247245,17.64499263522713,-2.4751369085019053,0.04519728205602293,1.7075842782790294,4.109623440826883,12.96551777320799,0.0,0.0,0.0,56.307001795332134,0.0,0.0,0.0018517235090279045,0.0002421310271681488,0.0,1951.9014079261026,0.0,0.19408928945713688,0.0,0.0,0.686014478086999,0.6850397616910143,0.35314359284076163,0.35629090968447513,2680.7147079029396,2456.1483529459774,0.0,0.0010704703988553032,0.0,0.001201775121537844,0.02322837801727977,0.02139203913720258,0.0,0.0011519183854513196,0.0011503875968992248,35.82128854345166,0.2601757976336189,0.00026218726029409367,0.0031288789119239407,0.07119543716207306,0.0,0.022865848312143795,0.12260804834260192,5.356596265687175e-05,0.00010248622380353192,-0.3065829384983409,-0.16487484277214887,0.0,0.0,983.4538023405748,32.116270604653444,0.0191734680713825,0.0,0.0,0.0,0.008980363511365101,0.8027209209323584,4.268032437046522e-05,4.268396790165614e-05,0.5530071599435041,0.0,0.6416630291949951,15.453747671865692,6.607242840002939,3.5937557296767872,0.7692097188997657,0.7704848264657137,2.075643481739727,0.7685598056825604,0.7390165090873465,1.6338041884389287,41.62563493255822,2.2501806817717904,15.41893482858006,506.3899879973545,0.0331596467169491,0.05258590880148895,0.06329048524427544,0.06411778062172316,0.028183261183261185,0.05700164710726786,78.24125914074172,78.29430532811978,20.80684159870693,34.2061635813231,0.0,0.0,0.001706679732157439,0.0,0.0,0.001421161825726141,0.0014200455025595192,-5.877982872211019e-07,-2.939063418457319e-07,9.418662172705687
std,0.05643050335089712,4.915820949411944,4.22744216358809,2231.600336155605,0.5711776219131975,1.0553404669190773,0.0,0.0,0.0,0.0,0.0,0.0,17.28989024382056,17.20264859546944,20.73223523498975,21.441973983199947,6.997242996892234,14.153872612766786,11.326285673854466,14.5463139524505,6.826642851689191,3.8735817977980265,0.0,12.25425653212087,0.0,0.0,3.5858125246618338,0.36359017323664566,0.36366154105311416,0.3467234521339041,0.3603019086294855,1.2245643983325791,1.2247867295098807,0.19049393958617042,34.28141862210674,18110.509881339844,4.751305880619107,21.625978934188755,0.0,0.0,0.0,0.0,0.0,96.86570938342169,30.324901728218226,2187.6320086378396,2186.4917928906466,2182.23180821821,2180.9303934418363,2179.7441763837,892.9555888411502,247.04460020869507,251.44225111223366,247.03190481803225,0.0,0.0,0.0,0.33872268384128684,29.53534635737406,0.019196110196490555,0.019839899054180245,0.020465807669163925,0.010829699800292272,0.005788839309453281,0.014471067524716058,2.2237495429353014,0.0,347.91675818203964,347.91780160876726,0.0,0.0,0.0,0.0,0.0,0.0,1119.6481519833708,680.4382172077586,18736.696546784468,18771.4356148107,19222.703327719162,19222.325045426016,19244.115014971874,19254.99890781816,0.004348666280384068,56.67978664573416,1.0322609970643828,1.6966556071019028,0.1234929227987321,0.0,3.235348397378249,0.22464413842794329,0.1485620436274741,0.0,0.0,0.0,3.118456824588514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038455248138667,0.03751704630082822,0.030477776351500854,0.028440437405943486,995.8346136851126,8.920477283687621,188.98737243226387,0.0,35.734019633305316,14.822705917769996,0.13033800571223014,2561.247831109191,10.218714085524075,7.904590471381128,1.1816083335092455,1.122830937947863,1.5281451181199806,2.611065828211615,14.380903237704295,0.0,0.0,0.0,31.968742715287277,0.0,0.0,0.04887193280128687,0.015453541701116838,0.0,339.64212548849486,0.0,11.334414886568922,0.0,0.0,0.44492658733076473,0.43436270306779584,0.2857260564398949,0.29025849446305485,6941.964874613579,6670.358737549109,0.0,0.027038648937427755,0.0,0.030413074364478408,0.5878989064916772,0.5420705930912325,0.0,0.02921359924325733,0.02919421106171136,39.516345331485226,0.9077143090181334,0.015511967196564374,0.07965703031875802,1.8137377623361879,0.0,0.5833000434998192,3.129543097814604,0.001368218271731629,0.0026292991271437646,2.214401856930586,2.206927554840384,0.0,0.0,716.3613139373583,44.37637113758226,0.4939221788755256,0.0,0.0,0.0,1.3699985306106373,0.8652765692211267,0.006533018013940051,0.006533296863120193,0.26913073796915826,0.0,0.43145316593222804,8.636204767722793,7.604855836526433,5.781211573722514,0.4305349063233588,0.5614223308206688,1.0530627478468717,0.4310239030980434,0.3640828961538211,0.8055715231672685,21.18248182177392,3.7368359982536323,8.672160219521492,585.2751458015769,0.8923383473957777,0.8314763629487483,1.6628491606970615,1.6855956573654607,0.7414011332088803,1.500438489551069,39.01062783658609,38.97836477530023,17.134247545903868,46.17469929943365,0.0,0.0,0.5972403737364921,0.0,0.0,0.03763731471663318,0.03763222636843496,0.00011655229264828609,9.214450927906963e-05,10.338369935130213
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.25,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.977,-0.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-40.0,-40.0,-40.0,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,-10.625,-8.75,0.0,0.0,-10.0,0.0,-7.469,0.0,-0.781,0.0,0.0,0.0,0.0,0.0,-128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.094,-20.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051,-0.031,0.0,0.0,0.0,0.0,-0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016,-0.016,0.0
25%,0.0,13.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,29.688,15.625,15.625,19.531,39.551,15.686,31.765,0.781,1.582,0.0,0.0,0.0,0.0,0.0,0.99,0.99,-0.027,-0.027,3.2,3.2,0.0,96.0,51199.219,13.574,23.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.5,134.8,389.4,135.225,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,703.75,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.103,2348.0,0.0,21.0,-3.0,0.0,0.0,2.344,3.78,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,45.391,45.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.781,-0.781,0.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.948,0.0,0.0,0.684,0.0,0.312,14.902,0.0,0.0,0.742,0.742,2.305,0.742,0.918,2.031,46.275,0.0,14.902,13.0,0.0,0.0,0.0,0.0,0.0,0.0,96.47,96.514,12.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,14.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,36.719,35.625,36.875,19.531,39.551,15.686,31.765,0.781,1.582,0.0,0.0,0.0,0.0,0.0,0.998,0.998,0.0,0.0,3.269,3.269,0.0,97.0,51199.219,13.847,29.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.5,325.1,507.3,325.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.0,1030.25,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,0.0,32.549,0.0,0.0,0.0,0.0,2.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,42.5,8.75,0.119,2661.0,8.0,21.0,-3.0,0.0,1.562,4.688,6.14,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.962,0.947,0.37,0.39,50.902,49.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.29,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.985,0.0,0.0,0.684,0.0,0.703,16.078,0.0,0.0,0.801,0.801,2.383,0.801,0.918,2.031,47.843,0.0,16.078,197.0,0.016,0.047,0.0,0.0,0.0,0.0,97.548,97.548,15.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
75%,0.0,14.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.844,39.844,52.5,53.75,19.531,39.551,24.706,40.392,1.23,2.012,0.0,17.279,0.0,0.0,0.0,1.001,1.001,0.008,0.008,3.313,3.308,0.0,97.0,51199.219,13.906,46.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.0,613.8,686.8,613.8,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,649.0,649.0,0.0,0.0,0.0,0.0,0.0,0.0,1643.0,1574.0,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,0.0,78.431,0.0,0.0,0.0,0.0,6.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,23.5,260.0,0.0,76.875,27.5,0.243,5053.25,18.0,21.406,-3.0,0.0,3.125,6.25,20.54,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.977,0.962,0.625,0.64,81.055,67.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.591,0.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.781,0.781,0.0,0.0,1500.0,76.0,0.0,0.0,0.0,0.0,0.0,1.002,0.0,0.0,0.684,0.0,1.016,21.176,14.0,8.0,1.055,1.055,2.695,1.055,0.918,2.031,54.118,4.314,21.176,1289.0,0.035,0.066,0.0,0.0,0.0,0.0,97.944,97.988,32.157,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
max,3.313,14.392,97.0,51199.219,13.105,24.314,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,66.875,77.5,21.484,40.039,405.0,227.6,405.0,227.6,0.0,66.498,0.0,0.0,83.0,1.232,1.232,2.781,3.148,4.997,4.997,6.0,98.0,51199.219,14.85,98.039,0.0,0.0,0.0,0.0,0.0,2272.0,722.5,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,720.4,856.2,720.4,0.0,0.0,0.0,7.996,85.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,0.0,936.0,936.0,0.0,0.0,0.0,0.0,0.0,0.0,5002.0,4848.0,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,0.106,2454.0,25.0,209.0,0.0,0.0,7.996,5.469,3.67,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.947,0.928,0.76,0.72,3090.0,96.293,603.0,0.0,84.375,50.625,0.713,21024.0,35.0,23.844,0.0,28.552,6.25,8.594,322.71,0.0,0.0,0.0,209.0,0.0,0.0,1.562,1.562,0.0,2011.0,0.0,700.0,0.0,0.0,1.362,1.343,0.935,0.915,21247.676,21247.676,0.0,0.684,0.0,0.781,14.902,14.0,0.0,0.742,0.742,100.018,1.001,0.918,2.031,46.275,0.0,14.902,80.0,0.035,0.07,9.375,14.062,0.0,0.0,2800.0,131.0,12.941,0.0,0.0,0.0,209.0,271.0,1.0,1.0,0.684,0.0,1.953,54.51,65.0,58.0,2.715,126.77,4.805,2.715,0.938,2.031,96.078,37.647,54.118,1501.0,65.625,64.844,43.75,44.375,19.531,39.551,98.956,99.044,188.235,140.0,0.0,0.0,209.0,0.0,0.0,1.003,1.002,0.012,0.008,25.0
