severity,category,issue,details,recommendation,source
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 14°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103170719_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103170719_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2558°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251103170719_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 29 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251103170719_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103170719_clean.csv
WARNING,Engine Performance,High Idle RPM,Average idle RPM: 948 (expected 650-800),"Check for vacuum leaks, throttle position sensor, or idle air control valve",TOYOTA_989347712041_20251223214108_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251223214108_clean.csv
WARNING,Engine Performance,High Idle RPM,Average idle RPM: 911 (expected 650-800),"Check for vacuum leaks, throttle position sensor, or idle air control valve",TOYOTA_989347712041_20251223214108_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 65°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223214108_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223214108_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 42°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223214108_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223214108_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2619°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251223214108_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 87 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251223214108_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223214108_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±58 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20260120104845_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260120104845_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±72 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20260120104845_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 6 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20260120104845_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 6 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20260120104845_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 50°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120104845_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120104845_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: -11°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120104845_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120104845_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 3039°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20260120104845_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 1071 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20260120104845_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120104845_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±125 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251109130103_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251109130103_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±256 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251109130103_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 25 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251109130103_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 30 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251109130103_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 72°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251109130103_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 1°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251109130103_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 14°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251109130103_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251109130103_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 3735°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251109130103_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 1296 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251109130103_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251109130103_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103172117_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 75°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103172117_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103172117_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 14°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103172117_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103172117_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2374°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251103172117_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 9 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251103172117_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103172117_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103170257_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 52°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103170257_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103170257_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 14°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103170257_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103170257_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2906°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251103170257_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 57 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251103170257_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103170257_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103173020_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 28 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103173020_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±146 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251103173020_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 75°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103173020_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103173020_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 51°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103173020_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103173020_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 1674°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251103173020_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 22 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251103173020_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 14°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103173020_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251201203442_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 11 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251201203442_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 63°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201203442_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201203442_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201203442_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201203442_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2878°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251201203442_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 141 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251201203442_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201203442_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260120125129_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±272 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20260120125129_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 38 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20260120125129_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 42 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20260120125129_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 80°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120125129_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120125129_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 3881°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20260120125129_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 2068 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20260120125129_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 22°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120125129_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251028120111_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 60 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251028120111_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 42 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251028120111_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 78°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251028120111_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 762°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251028120111_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 79°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251028120111_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251028120111_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 5798°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251028120111_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 7446 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251028120111_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251028120111_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251220142351_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 77°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251220142351_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251220142351_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 4°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251220142351_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251220142351_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2296°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251220142351_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 10 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251220142351_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251220142351_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103171226_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 68°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103171226_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103171226_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 11°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103171226_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103171226_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 1935°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251103171226_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 51 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251103171226_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 17°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103171226_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251223214348_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±64 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251223214348_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 74°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223214348_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223214348_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 42°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223214348_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223214348_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2416°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251223214348_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 55 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251223214348_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223214348_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251028105043_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 19 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251028105043_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 16 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251028105043_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 73°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251028105043_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 602°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251028105043_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 70°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251028105043_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251028105043_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 3967°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251028105043_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 736 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251028105043_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 19°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251028105043_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251127121913_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 70°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127121913_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127121913_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: -1°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127121913_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127121913_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2457°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251127121913_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 11 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251127121913_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127121913_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103170028_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 3207°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251103170028_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±74 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251209204833_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251209204833_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±68 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251209204833_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 69°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251209204833_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251209204833_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 3°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251209204833_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251209204833_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2483°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251209204833_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 179 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251209204833_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251209204833_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103171959_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 74°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103171959_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103171959_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 14°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103171959_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103171959_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2378°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251103171959_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 7 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251103171959_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103171959_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251028105656_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 67 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251028105656_clean.csv
