severity,category,issue,details,recommendation,source
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127123053_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: -1°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127123053_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127123053_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2425°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251127123053_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 32 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251127123053_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127123053_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251127122922_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 73°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127122922_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127122922_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: -1°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127122922_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127122922_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2439°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251127122922_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251127122922_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251201180024_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 44°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201180024_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201180024_clean.csv
