Row,+BM Voltage [V],Atmosphere Pressure [kPa],Av Engine Speed of All Cyl [rpm],Battery Voltage [V],Calculate Load [%],Coolant Temp [degree C],Engine Speed [rpm],Engine Speed of Cyl Count1 [rpm],Engine Speed of Cyl Count2 [rpm],IGN Advance [deg],Injection Volum (Cylinder1) [ml],Knock Correct Learn Value [degree CA],Short FT (Bank1 Sensor1) [%],Short FT (Bank2 Sensor1) [%]
1,13.691,97,51199.219,13.457,23.922,79,711.500,51199.219,51199.219,15,0.101,21,0.781,1.562
2,13.705,97,51199.219,13.457,23.922,79,711.500,51199.219,51199.219,15,0.101,21,0.781,1.562
3,13.705,97,51199.219,13.457,23.922,79,711.500,51199.219,51199.219,15,0.101,21,0.781,1.562
4,13.705,97,51199.219,13.457,23.922,79,711.500,51199.219,51199.219,15,0.101,21,0.781,1.562
5,13.705,97,51199.219,13.457,23.922,79,711.500,51199.219,51199.219,15,0.101,21,0.781,1.562
6,13.705,97,51199.219,13.457,23.922,79,704.500,51199.219,51199.219,15,0.101,21,0.781,1.562
7,13.705,97,51199.219,13.457,23.922,79,704.500,51199.219,51199.219,15,0.101,21,0.781,1.562
8,13.705,97,51199.219,13.457,23.922,79,704.500,51199.219,51199.219,15,0.100,21,0.781,1.562
9,13.710,97,51199.219,13.457,23.922,79,709.250,51199.219,51199.219,15,0.100,21,0.781,1.562
10,13.700,97,51199.219,13.437,23.922,79,709.250,51199.219,51199.219,15,0.100,21,0.781,1.562
11,13.701,96,51199.219,13.457,23.922,79,709.250,51199.219,51199.219,15,0.100,21,0.781,1.562
12,13.700,97,51199.219,13.457,23.922,79,709.250,51199.219,51199.219,15,0.100,21,0.781,1.562
13,13.694,97,51199.219,13.457,23.922,79,709.250,51199.219,51199.219,15,0.100,21,0.781,1.562
14,13.706,97,51199.219,13.457,23.922,79,710.750,51199.219,51199.219,15,0.100,21,0.781,1.562
15,13.710,97,51199.219,13.457,24.314,79,710.750,51199.219,51199.219,15,0.100,21,0.781,1.562
16,13.710,96,51199.219,13.457,23.922,79,710,51199.219,51199.219,15,0.100,21,0.781,1.562
17,13.701,96,51199.219,13.457,23.922,79,712.500,51199.219,51199.219,15,0.100,21,0.781,1.562
18,13.695,97,51199.219,13.457,23.922,79,709.250,51199.219,51199.219,15,0.100,21,0.781,1.562
19,13.695,97,51199.219,13.457,23.922,79,714.750,51199.219,51199.219,15,0.100,21,0.781,1.562
20,13.701,97,51199.219,13.457,23.922,79,708.500,51199.219,51199.219,15,0.100,21,0.781,1.562
21,13.693,97,51199.219,13.457,23.922,79,714,51199.219,51199.219,15,0.100,21,0.781,1.562
22,13.695,96,51199.219,13.457,23.922,79,710.750,51199.219,51199.219,15,0.100,21,0.781,1.562
23,13.710,97,51199.219,13.457,23.922,79,707.750,51199.219,51199.219,15,0.100,21,0.781,1.562
24,13.710,96,51199.219,13.476,23.922,79,711.500,51199.219,51199.219,15,0.100,21,0.781,1.562
25,13.695,97,51199.219,13.457,23.922,79,710,51199.219,51199.219,15,0.100,21,0.781,1.562
26,13.708,97,51199.219,13.457,23.922,79,710.750,51199.219,51199.219,15,0.100,21,0.781,1.562
27,13.695,96,51199.219,13.457,23.922,79,714,51199.219,51199.219,15,0.100,21,0.781,1.562
28,13.710,96,51199.219,13.457,23.922,79,713.250,51199.219,51199.219,15,0.099,21,0,1.562
29,13.710,97,51199.219,13.457,23.922,79,712.500,51199.219,51199.219,15,0.099,21,0,1.562
